ENSID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,RNAlater.v.LN
ENSAMXG00000010834,135.767765860088,3.21681111884525,0.549676214523321,5.85219267971213,4.85134121693617e-09,4.47746839381061e-07,Up
ENSAMXG00000000968,12.6493044061485,-6.89851614413316,1.1791032291927,-5.85064646872048,4.89666036761103e-09,4.49239441940409e-07,Down
ENSAMXG00000010569,1818.7232022129,-1.84796972157681,0.316546455700875,-5.83791000750638,5.28596935977954e-09,4.82086661196935e-07,Down
ENSAMXG00000010461,239.104368987179,-1.43417046433079,0.245907915484142,-5.83214436797289,5.47195420606156e-09,4.96113118694275e-07,Down
ENSAMXG00000003246,272.088505314609,-1.78480159809089,0.306576848511612,-5.82171030446643,5.82484500663927e-09,5.25019509282637e-07,Down
ENSAMXG00000005028,322.732184054857,0.877595370408843,0.151025882390274,5.81089384494374,6.21401591778556e-09,5.54552304653246e-07,Up
ENSAMXG00000015089,382.480884671037,-1.85818182291028,0.319791023370744,-5.81061282872857,6.22445654350299e-09,5.54552304653246e-07,Down
ENSAMXG00000018142,31.9466391628603,-3.8076561099848,0.656180347784567,-5.80275852948115,6.52327025754067e-09,5.77834278617669e-07,Down
ENSAMXG00000017926,744.320191498979,-0.992129794262011,0.171038585393445,-5.80061973723522,6.60702758072146e-09,5.81909234866628e-07,Down
ENSAMXG00000019988,13.611552566561,-7.0065267602167,1.21002097484691,-5.79041760916845,7.02116332071365e-09,6.14870399216816e-07,Down
ENSAMXG00000028264,432.634781852512,1.09376883765273,0.188931929776754,5.78922175275056,7.07132909713166e-09,6.15764945616329e-07,Up
ENSAMXG00000014658,10.2975683237521,-6.59643900379531,1.13979613095731,-5.78738497581581,7.14906082443409e-09,6.19036373522486e-07,Down
ENSAMXG00000002432,18.2974931112994,-5.29915759375222,0.916256007526199,-5.78349014928636,7.31664742816302e-09,6.24261637898692e-07,Down
ENSAMXG00000008828,20.4095324533807,-2.95040623871297,0.510171756475715,-5.78316263349129,7.33091263606457e-09,6.24261637898692e-07,Down
ENSAMXG00000026036,73.4776220095061,-1.90163117832292,0.328742977263608,-5.78455300901552,7.27053943460462e-09,6.24261637898692e-07,Down
ENSAMXG00000014177,10.1826896893532,-6.57737992433044,1.13789491944673,-5.78030520386587,7.45652296051994e-09,6.31469166980735e-07,Down
ENSAMXG00000013705,1588.28011406367,1.17115411975792,0.203233450771272,5.76260509927565,8.28254336419383e-09,6.9758929438426e-07,Up
ENSAMXG00000025519,169.109142571341,-1.66537043324131,0.289406823726648,-5.75442697513689,8.69361743999375e-09,7.28232204362085e-07,Down
ENSAMXG00000011136,281.929256271155,1.83751682586414,0.319468884670783,5.75178652455537,8.83052620411232e-09,7.35702164237747e-07,Up
ENSAMXG00000019437,11.230568753819,-6.72830583151289,1.17056716553604,-5.74790240971077,9.0357362478156e-09,7.48751627890225e-07,Down
ENSAMXG00000004030,234.248794087561,1.23512360870654,0.215451425616007,5.73272423320081,9.88302478022020e-09,8.10250324135818e-07,Up
ENSAMXG00000018360,2524.56403373739,1.01090906125315,0.176333103578396,5.73295110639114,9.86980919769046e-09,8.10250324135818e-07,Up
ENSAMXG00000016673,346.316201649995,1.72072230215509,0.300366988992173,5.72873306726769,1.01183464977714e-08,8.25153833704503e-07,Up
ENSAMXG00000000565,1022.70611653821,-0.906010568157858,0.158481761877625,-5.71681282075507,1.08540562705885e-08,8.80492469992527e-07,Down
ENSAMXG00000007727,41.6508754987535,-3.23727463543375,0.567175609904059,-5.70771129594476,1.14505428270553e-08,9.24016840803158e-07,Down
