,CHOY.16.01,CHOY.16.04,CHOY.16.05,CHOY.16.08,CHOY.16.11,CHOY.16.12,CHOY.16.R.01,CHOY.16.R.03,CHOY.16.R.04,CHOY.16.R.05,CHOY.16.R.2
ENSAMXG00000000173,8.34497839208995,8.68349194589274,9.22313483572229,7.98349002597826,9.17491373520506,8.82441237190933,8.26874823395683,8.41931845611334,8.85379336611006,8.35945621248156,8.16774897764788
ENSAMXG00000000175,8.89385271969698,9.07435274610137,8.25876623749457,8.50171566957418,9.13129975420711,9.09103488641871,8.47658339367418,8.26255017006804,9.05674791168128,9.06149985515689,8.44125154052277
ENSAMXG00000000176,7.39422805869641,7.74527479827518,7.69764790127558,8.62236274597169,7.62823593216061,7.66852758838929,7.62228207409581,8.59517309361101,8.10143934338361,8.1837696277143,7.89973908556981
ENSAMXG00000000177,7.10975897695226,6.58040767014921,6.61349357748881,6.54254999923927,6.27428557865619,6.09075572814256,6.48500871263829,6.26714708158333,5.57604768444611,5.57604768444611,6.39306033033373
ENSAMXG00000000178,9.39841125165702,9.21914860445879,9.22856432124242,9.00758787390923,9.23655647526062,9.31941496830573,9.3311961105778,9.64856467347158,9.57589811393174,9.42927911675486,9.32122790161437
ENSAMXG00000000179,9.18759409897122,9.24191126384541,9.78666117066778,10.2138209424263,9.82586861331728,9.26875759301146,9.90708443358492,9.94206088156062,9.45305916985495,9.57023655093563,10.2447229902749
ENSAMXG00000000181,7.45751465878626,7.62921023591566,6.82536435156621,7.33362054237254,7.34236789276421,7.20438985094837,7.58875410741598,6.7849477052845,6.79392689089389,7.23619715363587,7.45682157583594
ENSAMXG00000000182,7.22740400435193,7.29771933260014,7.44414059471497,7.23531878351094,7.78584639162351,7.25132855913619,6.82886040888296,7.12945028487507,6.90287731406613,7.20316495044561,6.91314200565584
ENSAMXG00000000183,7.15032057591443,7.89880546635912,6.90841997802912,7.55254081107601,7.7135640851519,7.0288019780562,6.20998867299395,6.52300400527673,6.64495988692487,6.86742246763376,6.55961498919468
ENSAMXG00000000185,8.56361935031312,8.68720921445801,8.14029775632846,8.51960231447676,8.27731871259929,8.45919488823104,8.33638479137965,8.28194506304876,8.18477853995946,8.10335200967235,8.38703281190628
ENSAMXG00000000186,6.15033409676144,6.73439254627012,6.63486502715686,6.71159368602584,6.45427870147941,6.89830331624993,6.76107864760827,5.57604768444611,6.79392689089389,6.7887334605055,6.44432939118653
ENSAMXG00000000188,7.42627620397661,6.882380840894,6.82536435156621,7.17880071448934,7.27393941125952,6.81965527493956,7.04158222399234,7.36434399378635,7.0386087684778,7.03510985475085,7.3900467495492
ENSAMXG00000000192,7.67775693157068,7.83813836988423,7.66436791218534,7.52796163920595,7.61938411758648,7.67508916157454,7.6089761187637,7.73860064257479,8.04561480304931,8.21973632548972,7.71620706042823
ENSAMXG00000000193,8.38235798596091,8.56712896518935,9.29990698898208,8.3892801153426,9.03036111495724,9.22689437815553,8.2273515248722,8.32927004203442,8.68494801765351,8.82950556136516,8.18386521641275
ENSAMXG00000000194,10.6389070664681,5.94514192689994,10.3172743351608,10.2352918337872,10.192535662139,10.5192365419664,10.2994579575112,10.3484819565707,10.4248950161172,10.426506107068,6.05191851705484
ENSAMXG00000000195,9.44405198125409,9.09953261933559,9.34306171874594,9.05900281223481,8.86226933063975,8.74610547944157,8.45536673224815,8.95880715749647,8.65385324906538,8.79637884709061,8.53547313881582
ENSAMXG00000000196,12.0307600079818,12.492798307204,12.5789047642906,7.96141886706225,8.76243888692309,12.553755142059,11.7082671962739,8.83155379122313,13.1941243986535,8.6884371737415,9.92935167985842
ENSAMXG00000000198,9.69706303346865,8.92882499101897,8.81653139523958,9.80711091302129,9.17491373520506,8.50244681775236,9.68278530599031,10.0812294444181,9.92414364488785,9.87568904162891,9.78911047754459
ENSAMXG00000000199,6.92118651009446,6.98436565575177,7.24885976157249,7.71250444876934,6.9353526103072,6.70412505965094,7.80701548293704,7.94509826964925,7.2076005844526,7.33011097928146,7.36028074409443
ENSAMXG00000000200,6.43480994945292,5.57604768444611,6.26829399657777,6.28791108055321,5.57604768444611,6.21935291569364,6.3607854258607,6.58591373991505,5.57604768444611,6.70323327626285,5.57604768444611
ENSAMXG00000000201,9.43241257342745,9.79979435836436,9.372756813972,9.09490148982638,10.0428973869674,9.75087997956927,9.6042358538356,9.68112717998658,10.1035579336014,9.89907873003693,10.1101268907772
ENSAMXG00000000202,8.33547343375469,8.59118786849461,8.22040438367204,8.86446370144801,8.15241986786479,8.95372686371424,8.84743205101783,8.87630592638612,9.30879576808673,9.01632050687353,9.16310970417706
ENSAMXG00000000204,6.19962741153483,6.76923708634681,6.30140262081554,6.44363775469124,6.33947749836145,6.47858485256974,6.11784489232747,6.23554629683605,5.57604768444611,6.09033280629031,6.21222670101511
ENSAMXG00000000205,10.6268761196768,9.93891556384997,10.1176926040288,9.85649669803644,9.79465558350293,9.74053574613833,10.2758525533189,10.0662635335368,10.0978613353243,9.75607684761893,10.0514084291287
ENSAMXG00000000206,8.47737348704598,8.03644226206686,8.37281055751806,8.03080797278266,8.0601968683235,8.05847203051036,7.91185386702779,7.39308457884066,7.82487593295845,7.74466624805578,7.38020501858952
