gene_id,CHOY-16-01,CHOY-16-04,CHOY-16-05,CHOY-16-08,CHOY-16-11,CHOY-16-12,CHOY-16-R-01,CHOY-16-R-03,CHOY-16-R-04,CHOY-16-R-05,CHOY-16-R-2
ENSAMXG00000000280,386,298,326,247,327,286,109,153,121,97,124
ENSAMXG00000000281,115,60,72,138,44,62,145,125,64,124,103
ENSAMXG00000000282,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000283,73,66,45,122,43,74,106,158,96,59,54
ENSAMXG00000000284,20,23,8,47,10,22,30,14,27,48,30
ENSAMXG00000000285,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000286,78,26,24,96,37,24,26,48,62,50,56
ENSAMXG00000000287,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000288,46,25,39,27,11,23,0,0,7,0,0
ENSAMXG00000000289,35,29,29,54,38,39,63,70,23,51,75
ENSAMXG00000000290,0,0,19,14,0,12,0,0,0,0,0
ENSAMXG00000000291,224,147,160,239,161,177,217,142,115,191,215
ENSAMXG00000000292,0,21,0,32,9,11,29,6,12,31,34
ENSAMXG00000000293,2249,1173,1574,2165,1338,1030,597,1493,699,819,593
ENSAMXG00000000294,75,32,44,130,36,98,129,92,50,175,111
ENSAMXG00000000295,23,17,0,24,13,19,8,14,16,8,10
ENSAMXG00000000296,17,0,15,0,0,0,0,5,0,10,0
ENSAMXG00000000297,14,0,11,0,0,0,11,0,0,0,0
ENSAMXG00000000298,217,177,142,434,151,184,119,109,77,63,49
ENSAMXG00000000299,796,508,528,556,342,751,365,377,268,437,319
ENSAMXG00000000300,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000301,554,257,102,241,93,480,1111,259,295,1003,525
ENSAMXG00000000302,21,40,47,164,14,47,108,83,34,26,22
ENSAMXG00000000303,0,0,0,0,0,0,0,0,3,0,0
ENSAMXG00000000304,380,240,202,250,158,266,148,89,50,100,58
ENSAMXG00000000305,48,99,28,105,27,34,62,34,17,21,68
ENSAMXG00000000306,185,92,74,205,67,108,149,95,68,88,94
ENSAMXG00000000307,92,42,39,30,50,44,42,60,41,44,45
ENSAMXG00000000308,0,3,0,0,0,0,0,0,0,0,0
ENSAMXG00000000309,54,526,97,70,709,99,197,124,123,71,100
ENSAMXG00000000310,3830,15383,7556,4894,9082,10082,10476,4107,1977,12646,13339
ENSAMXG00000000311,142,124,108,162,110,206,79,82,48,49,37
ENSAMXG00000000312,169,108,139,176,113,181,166,173,96,116,87
ENSAMXG00000000313,162,32,75,126,33,53,127,124,66,134,85
ENSAMXG00000000314,37,14,14,123,14,14,96,41,58,64,90
ENSAMXG00000000315,142,48,81,81,77,86,57,113,54,64,75
ENSAMXG00000000316,0,21,40,13,10,15,92,0,66,0,11
ENSAMXG00000000317,0,15,0,11,4,11,0,0,0,0,0
ENSAMXG00000000318,48,20,4,12,0,22,41,0,0,39,83
ENSAMXG00000000319,595,265,361,429,601,304,728,685,372,515,678
ENSAMXG00000000320,199,75,29,67,31,79,262,116,214,1018,206
ENSAMXG00000000321,339,160,395,222,218,371,446,333,204,204,552
ENSAMXG00000000322,101,51,67,98,150,76,108,107,57,87,89
ENSAMXG00000000323,891,327,297,422,222,547,500,292,237,332,230
ENSAMXG00000000324,0,7,6,7,0,0,0,0,0,0,0
ENSAMXG00000000325,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000326,0,0,9,11,0,7,21,15,21,37,18
ENSAMXG00000000327,0,7,0,9,13,13,0,0,0,0,0
ENSAMXG00000000328,6,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000329,246,227,333,427,387,305,135,346,138,170,161
ENSAMXG00000000330,0,0,0,7,0,0,0,0,0,0,0
ENSAMXG00000000331,99,61,31,85,61,53,21,0,0,20,20
ENSAMXG00000000332,85,83,49,157,43,68,45,70,50,27,26
ENSAMXG00000000333,911,835,625,1160,778,892,435,533,418,387,447
